Club,Country,League,Player Names,Year,Above expectation,convertion rate of shots on target,convertion rate of total shots,Goals,Goals/xG,Matches Played,Mins,On Target,On Target Per Avg Match,onTarget/Shots per game,Shots,Shots Per Avg Match,Substitution,X G,xG Per Avg Match,xG<goals
(RMA),Spain,La Liga,Karim Benzema,2018,met expectation,0.477272727,0.201923077,21,1.202749141,35,3072,44,1.36,0.423076923,104,3.22,1,17.46,0.54,Positive
(VAL),Spain,La Liga,Maxi Gomez,2018,met expectation,0.464285714,0.158536585,13,1.00619195,33,3148,28,0.84,0.341463415,82,2.47,2,12.92,0.39,Positive
(CEL),Spain,La Liga,Iago Aspas,2018,met expectation,0.625,0.289855072,20,1.603849238,26,2369,32,1.28,0.463768116,69,2.77,1,12.47,0.5,Positive
(GET),Spain,La Liga,Jaime Mata,2018,met expectation,0.56,0.237288136,14,1.125401929,27,2569,25,0.92,0.423728814,59,2.18,7,12.44,0.46,Positive
(BIL),Spain,La Liga,Inaki Williams,2018,Not met expectation,0.363636364,0.16,12,0.883002208,36,3148,33,1.0,0.44,75,2.26,2,13.59,0.41,Negative
(GIR),Spain,La Liga,Cristhian Stuani,2018,met expectation,0.487179487,0.246753247,19,1.153612629,30,2897,39,1.28,0.506493506,77,2.53,2,16.47,0.54,Positive
(OSA),Spain,La Liga,Chimy Avila,2018,met expectation,0.416666667,0.113636364,10,1.31061599,20,2131,24,1.07,0.272727273,88,3.92,14,7.63,0.34,Positive
(ESP),Spain,La Liga,Raul de Tomas,2018,Not met expectation,0.29787234,0.12173913,14,0.863131936,32,2964,47,1.51,0.408695652,115,3.69,1,16.22,0.52,Negative
(ATL),Spain,La Liga,Luis Suarez,2018,Not met expectation,0.362068966,0.1875,21,0.844051447,31,2954,58,1.87,0.517857143,112,3.6,2,24.88,0.8,Negative
(LEV),Spain,La Liga,Roger,2018,Not met expectation,0.433333333,0.183098592,13,0.921985816,23,1999,30,1.43,0.422535211,71,3.37,8,14.1,0.67,Negative
(SOC),Spain,La Liga,Willian Jose,2018,met expectation,0.461538462,0.218181818,12,1.025641026,28,2471,26,1.0,0.472727273,55,2.11,3,11.7,0.45,Positive
(PSG),Spain,La Liga,Pablo Sarabia,2018,met expectation,0.419354839,0.173333333,13,1.100762066,30,2877,31,1.02,0.413333333,75,2.48,3,11.81,0.39,Positive
(SOC),Spain,La Liga,Mikel Oyarzabal,2018,met expectation,0.464285714,0.196969697,13,1.169064748,36,3300,28,0.81,0.424242424,66,1.9,1,11.12,0.32,Positive
(BAR),Spain,La Liga,Antoine Griezmann,2018,met expectation,0.333333333,0.132743363,15,1.038062284,37,3349,45,1.28,0.398230088,113,3.21,0,14.45,0.41,Positive
(BET),Spain,La Liga,Borja Iglesias,2018,met expectation,0.447368421,0.188888889,17,1.036585366,35,3246,38,1.11,0.422222222,90,2.63,2,16.4,0.48,Positive
(BAR),Spain,La Liga,Lionel Messi,2018,met expectation,0.413793103,0.211764706,36,1.412318556,29,2849,87,2.9,0.511764706,170,5.67,5,25.49,0.85,Positive
(GRA),Spain,La Liga,Jorge Molina,2018,met expectation,0.608695652,0.245614035,14,1.241134752,28,2819,23,0.78,0.403508772,57,1.92,10,11.28,0.38,Positive
,Spain,La Liga,Charles,2018,met expectation,0.466666667,0.222222222,14,1.006470165,17,1861,30,1.53,0.476190476,63,3.22,17,13.91,0.71,Positive
(MON),Spain,La Liga,Wissam Ben Yedder,2018,met expectation,0.5,0.236842105,18,1.045296167,31,2975,36,1.15,0.473684211,76,2.43,4,17.22,0.55,Positive
(LEV),Spain,La Liga,Morales,2018,Not met expectation,0.363636364,0.184615385,12,0.887573964,35,3381,33,0.93,0.507692308,65,1.83,2,13.52,0.38,Negative
(NAP),Italy,Serie A,Arkadiusz Milik,2018,met expectation,0.333333333,0.153153153,17,1.370967742,27,2560,51,1.89,0.459459459,111,4.12,8,12.4,0.46,Positive
(ATA),Italy,Serie A,Duvan Zapata,2018,met expectation,0.46,0.194915254,23,1.251360174,32,3064,50,1.55,0.423728814,118,3.66,5,18.38,0.57,Positive
(NAP),Italy,Serie A,Lorenzo Insigne,2018,met expectation,0.27027027,0.083333333,10,1.083423619,24,2191,37,1.6,0.308333333,120,5.2,4,9.23,0.4,Positive
(JUV),Italy,Serie A,Cristiano Ronaldo,2018,Not met expectation,0.308823529,0.118644068,21,0.969976905,30,2857,68,2.26,0.384180791,177,5.89,1,21.65,0.72,Negative
(LAZ),Italy,Serie A,Ciro Immobile,2018,Not met expectation,0.306122449,0.120967742,15,0.954805856,31,3046,49,1.53,0.39516129,124,3.87,5,15.71,0.49,Negative
